 	count
00000000000000	105
00000000000001	103
00000000000010	157
00000000000011	172
00000000000100	134
00000000000101	135
00000000000110	99
00000000000111	169
00000000001000	130
00000000001001	216
00000000001010	127
00000000001011	183
00000000001100	128
00000000001101	139
00000000001110	139
00000000001111	157
00000000010000	48
00000000010001	148
00000000010010	72
00000000010011	142
00000000010100	60
00000000010101	149
00000000010110	77
00000000010111	170
00000000011000	87
00000000011001	122
00000000011010	121
00000000011011	131
00000000011100	92
00000000011101	102
00000000011110	92
00000000011111	112
00000000100000	107
00000000100001	179
00000000100010	160
00000000100011	214
00000000100100	160
00000000100101	194
00000000100110	120
00000000100111	171
00000000101000	206
00000000101001	214
00000000101010	206
00000000101011	199
00000000101100	150
00000000101101	124
00000000101110	180
00000000101111	133
00000000110000	88
00000000110001	113
00000000110010	87
00000000110011	102
00000000110100	119
00000000110101	118
00000000110110	78
00000000110111	157
00000000111000	138
00000000111001	145
00000000111010	126
00000000111011	164
00000000111100	115
00000000111101	164
00000000111110	159
00000000111111	136
00000001000000	149
00000001000001	229
00000001000010	118
00000001000011	257
00000001000100	121
00000001000101	228
00000001000110	103
00000001000111	215
00000001001000	151
00000001001001	240
00000001001010	142
00000001001011	214
00000001001100	148
00000001001101	234
00000001001110	131
00000001001111	209
00000001010000	70
00000001010001	188
00000001010010	80
00000001010011	127
00000001010100	61
00000001010101	130
00000001010110	66
00000001010111	157
00000001011000	95
00000001011001	223
00000001011010	116
00000001011011	161
00000001011100	93
00000001011101	184
00000001011110	101
00000001011111	202
00000001100000	145
00000001100001	221
00000001100010	149
00000001100011	205
00000001100100	217
00000001100101	284
00000001100110	157
00000001100111	205
00000001101000	169
00000001101001	277
00000001101010	191
00000001101011	183
00000001101100	169
00000001101101	228
00000001101110	118
00000001101111	191
00000001110000	85
00000001110001	235
00000001110010	55
00000001110011	143
00000001110100	95
00000001110101	235
00000001110110	106
00000001110111	205
00000001111000	140
00000001111001	244
00000001111010	131
00000001111011	217
00000001111100	102
00000001111101	193
00000001111110	104
00000001111111	177
00000010000000	119
00000010000001	147
00000010000010	105
00000010000011	188
00000010000100	134
00000010000101	176
00000010000110	184
00000010000111	207
00000010001000	138
00000010001001	194
00000010001010	180
00000010001011	153
00000010001100	147
00000010001101	165
00000010001110	160
00000010001111	156
00000010010000	79
00000010010001	148
00000010010010	67
00000010010011	166
00000010010100	65
00000010010101	191
00000010010110	81
00000010010111	226
00000010011000	76
00000010011001	200
00000010011010	95
00000010011011	125
00000010011100	102
00000010011101	137
00000010011110	86
00000010011111	245
00000010100000	211
00000010100001	289
00000010100010	153
00000010100011	176
00000010100100	168
00000010100101	262
00000010100110	133
00000010100111	198
00000010101000	183
00000010101001	216
00000010101010	162
00000010101011	249
00000010101100	160
00000010101101	216
00000010101110	151
00000010101111	198
00000010110000	95
00000010110001	175
00000010110010	65
00000010110011	184
00000010110100	95
00000010110101	158
00000010110110	91
00000010110111	147
00000010111000	136
00000010111001	233
00000010111010	102
00000010111011	194
00000010111100	116
00000010111101	253
00000010111110	91
00000010111111	203
00000011000000	179
00000011000001	327
00000011000010	180
00000011000011	287
00000011000100	163
00000011000101	333
00000011000110	174
00000011000111	291
00000011001000	248
00000011001001	317
00000011001010	125
00000011001011	250
00000011001100	231
00000011001101	291
00000011001110	216
00000011001111	196
00000011010000	87
00000011010001	206
00000011010010	77
00000011010011	191
00000011010100	99
00000011010101	259
00000011010110	117
00000011010111	279
00000011011000	168
00000011011001	176
00000011011010	123
00000011011011	170
00000011011100	182
00000011011101	339
00000011011110	113
00000011011111	160
00000011100000	218
00000011100001	263
00000011100010	131
00000011100011	286
00000011100100	197
00000011100101	327
00000011100110	170
00000011100111	322
00000011101000	301
00000011101001	408
00000011101010	215
00000011101011	262
00000011101100	201
00000011101101	344
00000011101110	141
00000011101111	290
00000011110000	103
00000011110001	247
00000011110010	100
00000011110011	156
00000011110100	117
00000011110101	328
00000011110110	125
00000011110111	301
00000011111000	202
00000011111001	288
00000011111010	163
00000011111011	330
00000011111100	199
00000011111101	337
00000011111110	185
00000011111111	254
00000100000000	109
00000100000001	127
00000100000010	106
00000100000011	97
00000100000100	95
00000100000101	144
00000100000110	119
00000100000111	174
00000100001000	107
00000100001001	102
00000100001010	99
00000100001011	119
00000100001100	100
00000100001101	98
00000100001110	111
00000100001111	80
00000100010000	57
00000100010001	59
00000100010010	72
00000100010011	82
00000100010100	54
00000100010101	80
00000100010110	73
00000100010111	95
00000100011000	63
00000100011001	99
00000100011010	66
00000100011011	91
00000100011100	50
00000100011101	70
00000100011110	87
00000100011111	86
00000100100000	161
00000100100001	205
00000100100010	119
00000100100011	179
00000100100100	130
00000100100101	163
00000100100110	119
00000100100111	161
00000100101000	122
00000100101001	154
00000100101010	128
00000100101011	133
00000100101100	131
00000100101101	145
00000100101110	126
00000100101111	136
00000100110000	69
00000100110001	124
00000100110010	77
00000100110011	136
00000100110100	92
00000100110101	114
00000100110110	77
00000100110111	123
00000100111000	93
00000100111001	162
00000100111010	63
00000100111011	132
00000100111100	61
00000100111101	116
00000100111110	84
00000100111111	151
00000101000000	111
00000101000001	184
00000101000010	87
00000101000011	153
00000101000100	139
00000101000101	184
00000101000110	70
00000101000111	151
00000101001000	144
00000101001001	177
00000101001010	108
00000101001011	146
00000101001100	104
00000101001101	124
00000101001110	129
00000101001111	164
00000101010000	45
00000101010001	114
00000101010010	66
00000101010011	115
00000101010100	63
00000101010101	166
00000101010110	61
00000101010111	136
00000101011000	56
00000101011001	209
00000101011010	71
00000101011011	165
00000101011100	103
00000101011101	111
00000101011110	78
00000101011111	183
00000101100000	92
00000101100001	235
00000101100010	83
00000101100011	227
00000101100100	189
00000101100101	275
00000101100110	134
00000101100111	194
00000101101000	136
00000101101001	209
00000101101010	141
00000101101011	176
00000101101100	182
00000101101101	265
00000101101110	125
00000101101111	191
00000101110000	71
00000101110001	203
00000101110010	74
00000101110011	186
00000101110100	100
00000101110101	133
00000101110110	78
00000101110111	118
00000101111000	88
00000101111001	170
00000101111010	79
00000101111011	162
00000101111100	110
00000101111101	185
00000101111110	93
00000101111111	167
00000110000000	156
00000110000001	207
00000110000010	125
00000110000011	203
00000110000100	134
00000110000101	182
00000110000110	153
00000110000111	194
00000110001000	137
00000110001001	182
00000110001010	147
00000110001011	166
00000110001100	166
00000110001101	181
00000110001110	152
00000110001111	220
00000110010000	96
00000110010001	128
00000110010010	64
00000110010011	139
00000110010100	109
00000110010101	132
00000110010110	81
00000110010111	141
00000110011000	109
00000110011001	154
00000110011010	115
00000110011011	119
00000110011100	105
00000110011101	124
00000110011110	95
00000110011111	167
00000110100000	128
00000110100001	221
00000110100010	161
00000110100011	186
00000110100100	157
00000110100101	232
00000110100110	157
00000110100111	248
00000110101000	183
00000110101001	204
00000110101010	214
00000110101011	221
00000110101100	178
00000110101101	188
00000110101110	128
00000110101111	199
00000110110000	94
00000110110001	195
00000110110010	84
00000110110011	207
00000110110100	94
00000110110101	229
00000110110110	98
00000110110111	197
00000110111000	164
00000110111001	224
00000110111010	109
00000110111011	186
00000110111100	146
00000110111101	134
00000110111110	186
00000110111111	160
00000111000000	204
00000111000001	261
00000111000010	158
00000111000011	227
00000111000100	254
00000111000101	357
00000111000110	195
00000111000111	433
00000111001000	184
00000111001001	316
