 	count
00000000000000	270
00000000000001	296
00000000000010	326
00000000000011	335
00000000000100	295
00000000000101	505
00000000000110	306
00000000000111	386
00000000001000	448
00000000001001	558
00000000001010	309
00000000001011	467
00000000001100	372
00000000001101	415
00000000001110	253
00000000001111	357
00000000010000	148
00000000010001	320
00000000010010	186
00000000010011	289
00000000010100	166
00000000010101	394
00000000010110	126
00000000010111	299
00000000011000	215
00000000011001	464
00000000011010	221
00000000011011	298
00000000011100	186
00000000011101	285
00000000011110	161
00000000011111	263
00000000100000	344
00000000100001	551
00000000100010	369
00000000100011	555
00000000100100	450
00000000100101	546
00000000100110	292
00000000100111	446
00000000101000	548
00000000101001	555
00000000101010	400
00000000101011	475
00000000101100	468
00000000101101	400
00000000101110	346
00000000101111	320
00000000110000	186
00000000110001	413
00000000110010	169
00000000110011	243
00000000110100	225
00000000110101	436
00000000110110	130
00000000110111	307
00000000111000	322
00000000111001	486
00000000111010	269
00000000111011	411
00000000111100	318
00000000111101	456
00000000111110	294
00000000111111	345
00000001000000	202
00000001000001	249
00000001000010	188
00000001000011	374
00000001000100	174
00000001000101	323
00000001000110	113
00000001000111	282
00000001001000	179
00000001001001	361
00000001001010	218
00000001001011	352
00000001001100	205
00000001001101	414
00000001001110	182
00000001001111	288
00000001010000	75
00000001010001	262
00000001010010	102
00000001010011	210
00000001010100	77
00000001010101	236
00000001010110	110
00000001010111	235
00000001011000	114
00000001011001	363
00000001011010	148
00000001011011	250
00000001011100	130
00000001011101	276
00000001011110	149
00000001011111	236
00000001100000	197
00000001100001	373
00000001100010	202
00000001100011	405
00000001100100	298
00000001100101	399
00000001100110	196
00000001100111	321
00000001101000	270
00000001101001	503
00000001101010	243
00000001101011	309
00000001101100	226
00000001101101	352
00000001101110	208
00000001101111	328
00000001110000	91
00000001110001	379
00000001110010	96
00000001110011	235
00000001110100	124
00000001110101	276
00000001110110	100
00000001110111	332
00000001111000	181
00000001111001	355
00000001111010	149
00000001111011	369
00000001111100	202
00000001111101	360
00000001111110	135
00000001111111	290
00000010000000	282
00000010000001	328
00000010000010	124
00000010000011	325
00000010000100	254
00000010000101	404
00000010000110	254
00000010000111	382
00000010001000	286
00000010001001	402
00000010001010	265
00000010001011	291
00000010001100	250
00000010001101	316
00000010001110	232
00000010001111	296
00000010010000	121
00000010010001	190
00000010010010	77
00000010010011	238
00000010010100	137
00000010010101	323
00000010010110	114
00000010010111	379
00000010011000	157
00000010011001	440
00000010011010	155
00000010011011	204
00000010011100	209
00000010011101	266
00000010011110	133
00000010011111	394
00000010100000	377
00000010100001	623
00000010100010	288
00000010100011	347
00000010100100	372
00000010100101	611
00000010100110	206
00000010100111	352
00000010101000	337
00000010101001	559
00000010101010	254
00000010101011	400
00000010101100	325
00000010101101	602
00000010101110	216
00000010101111	351
00000010110000	167
00000010110001	313
00000010110010	96
00000010110011	267
00000010110100	174
00000010110101	278
00000010110110	143
00000010110111	208
00000010111000	298
00000010111001	511
00000010111010	145
00000010111011	389
00000010111100	283
00000010111101	515
00000010111110	176
00000010111111	341
00000011000000	188
00000011000001	389
00000011000010	161
00000011000011	311
00000011000100	190
00000011000101	389
00000011000110	243
00000011000111	317
00000011001000	202
00000011001001	421
00000011001010	179
00000011001011	269
00000011001100	218
00000011001101	312
00000011001110	220
00000011001111	246
00000011010000	78
00000011010001	180
00000011010010	83
00000011010011	211
00000011010100	89
00000011010101	269
00000011010110	73
00000011010111	247
00000011011000	139
00000011011001	219
00000011011010	99
00000011011011	181
00000011011100	139
00000011011101	302
00000011011110	124
00000011011111	216
00000011100000	260
00000011100001	308
00000011100010	167
00000011100011	323
00000011100100	206
00000011100101	486
00000011100110	176
00000011100111	362
00000011101000	318
00000011101001	433
00000011101010	228
00000011101011	330
00000011101100	202
00000011101101	348
00000011101110	185
00000011101111	358
00000011110000	121
00000011110001	246
00000011110010	82
00000011110011	196
00000011110100	129
00000011110101	355
00000011110110	97
00000011110111	306
00000011111000	171
00000011111001	314
00000011111010	160
00000011111011	397
00000011111100	217
00000011111101	343
00000011111110	157
00000011111111	296
00000100000000	265
00000100000001	366
00000100000010	178
00000100000011	272
00000100000100	229
00000100000101	391
00000100000110	216
00000100000111	413
00000100001000	291
00000100001001	283
00000100001010	258
00000100001011	257
00000100001100	269
00000100001101	231
00000100001110	261
00000100001111	236
00000100010000	138
00000100010001	214
00000100010010	111
00000100010011	165
00000100010100	160
00000100010101	222
00000100010110	122
00000100010111	235
00000100011000	208
00000100011001	314
00000100011010	154
00000100011011	282
00000100011100	156
00000100011101	219
00000100011110	167
00000100011111	234
00000100100000	314
00000100100001	564
00000100100010	253
00000100100011	386
00000100100100	325
00000100100101	409
00000100100110	236
00000100100111	385
00000100101000	387
00000100101001	455
00000100101010	338
00000100101011	350
00000100101100	364
00000100101101	448
00000100101110	296
00000100101111	370
00000100110000	175
00000100110001	342
00000100110010	132
00000100110011	284
00000100110100	168
00000100110101	362
00000100110110	132
00000100110111	222
00000100111000	303
00000100111001	505
00000100111010	158
00000100111011	290
00000100111100	228
00000100111101	425
00000100111110	236
00000100111111	383
00000101000000	146
00000101000001	276
00000101000010	134
00000101000011	285
00000101000100	153
00000101000101	315
00000101000110	152
00000101000111	269
00000101001000	183
00000101001001	236
00000101001010	162
00000101001011	220
00000101001100	162
00000101001101	230
00000101001110	172
00000101001111	277
00000101010000	85
00000101010001	185
00000101010010	79
00000101010011	183
00000101010100	66
00000101010101	251
00000101010110	78
00000101010111	197
00000101011000	104
00000101011001	356
00000101011010	104
00000101011011	221
00000101011100	144
00000101011101	199
00000101011110	114
00000101011111	306
00000101100000	131
00000101100001	416
00000101100010	130
00000101100011	247
00000101100100	237
00000101100101	409
00000101100110	160
00000101100111	295
00000101101000	210
00000101101001	366
00000101101010	146
00000101101011	251
00000101101100	254
00000101101101	362
00000101101110	203
00000101101111	293
00000101110000	63
00000101110001	287
00000101110010	67
00000101110011	277
00000101110100	122
00000101110101	261
00000101110110	77
00000101110111	199
00000101111000	130
00000101111001	345
00000101111010	127
00000101111011	329
00000101111100	135
00000101111101	241
00000101111110	107
00000101111111	220
00000110000000	360
00000110000001	404
00000110000010	209
00000110000011	393
00000110000100	289
00000110000101	428
00000110000110	230
00000110000111	304
00000110001000	416
00000110001001	433
00000110001010	312
00000110001011	321
00000110001100	337
00000110001101	494
00000110001110	261
00000110001111	371
00000110010000	187
00000110010001	331
00000110010010	88
00000110010011	256
00000110010100	144
00000110010101	319
00000110010110	122
00000110010111	304
00000110011000	264
00000110011001	354
00000110011010	161
00000110011011	258
00000110011100	205
00000110011101	317
00000110011110	222
00000110011111	334
00000110100000	350
00000110100001	587
00000110100010	236
00000110100011	324
00000110100100	358
00000110100101	444
00000110100110	282
00000110100111	406
00000110101000	460
00000110101001	478
00000110101010	348
00000110101011	409
00000110101100	397
00000110101101	391
00000110101110	312
00000110101111	334
00000110110000	177
00000110110001	306
00000110110010	135
00000110110011	298
00000110110100	210
00000110110101	548
00000110110110	115
00000110110111	344
00000110111000	301
00000110111001	521
00000110111010	145
00000110111011	319
00000110111100	254
00000110111101	309
00000110111110	233
00000110111111	214
00000111000000	172
00000111000001	302
00000111000010	232
00000111000011	295
00000111000100	224
00000111000101	319
00000111000110	195
00000111000111	499
00000111001000	242
00000111001001	325
00000111001010	278
00000111001011	360
00000111001100	284
00000111001101	353
00000111001110	289
00000111001111	311
00000111010000	115
00000111010001	293
00000111010010	131
00000111010011	204
00000111010100	131
00000111010101	309
00000111010110	115
00000111010111	302
00000111011000	167
00000111011001	296
00000111011010	165
00000111011011	271
00000111011100	174
00000111011101	275
00000111011110	151
00000111011111	274
00000111100000	264
00000111100001	408
00000111100010	197
00000111100011	331
00000111100100	290
00000111100101	511
00000111100110	234
00000111100111	311
00000111101000	371
00000111101001	372
00000111101010	250
00000111101011	308
00000111101100	303
00000111101101	458
00000111101110	213
00000111101111	235
00000111110000	137
00000111110001	394
00000111110010	122
00000111110011	206
00000111110100	156
00000111110101	334
00000111110110	131
00000111110111	261
00000111111000	206
00000111111001	342
00000111111010	155
00000111111011	252
00000111111100	201
00000111111101	427
00000111111110	159
00000111111111	291
00001000000000	361
00001000000001	677
00001000000010	403
00001000000011	668
00001000000100	452
00001000000101	505
00001000000110	328
00001000000111	558
00001000001000	566
00001000001001	793
00001000001010	395
00001000001011	468
00001000001100	519
00001000001101	584
00001000001110	409
00001000001111	499
00001000010000	217
00001000010001	392
00001000010010	217
00001000010011	388
00001000010100	202
00001000010101	388
00001000010110	230
00001000010111	455
00001000011000	330
00001000011001	613
00001000011010	265
00001000011011	408
00001000011100	297
00001000011101	586
00001000011110	224
00001000011111	326
00001000100000	536
00001000100001	816
00001000100010	464
00001000100011	554
00001000100100	508
00001000100101	684
00001000100110	368
00001000100111	631
00001000101000	615
00001000101001	721
00001000101010	502
00001000101011	599
00001000101100	592
00001000101101	619
00001000101110	447
00001000101111	482
00001000110000	305
00001000110001	673
00001000110010	215
00001000110011	386
00001000110100	322
00001000110101	634
00001000110110	189
00001000110111	431
00001000111000	407
00001000111001	674
00001000111010	287
00001000111011	521
00001000111100	378
00001000111101	532
00001000111110	242
00001000111111	580
00001001000000	205
00001001000001	398
00001001000010	158
00001001000011	401
00001001000100	249
00001001000101	430
00001001000110	213
00001001000111	421
00001001001000	306
00001001001001	481
