 	count
00000000000000	153
00000000000001	147
00000000000010	204
00000000000011	190
00000000000100	145
00000000000101	221
00000000000110	176
00000000000111	220
00000000001000	190
00000000001001	273
00000000001010	148
00000000001011	254
00000000001100	174
00000000001101	211
00000000001110	166
00000000001111	220
00000000010000	64
00000000010001	152
00000000010010	97
00000000010011	186
00000000010100	77
00000000010101	209
00000000010110	82
00000000010111	199
00000000011000	111
00000000011001	138
00000000011010	125
00000000011011	181
00000000011100	88
00000000011101	135
00000000011110	114
00000000011111	178
00000000100000	174
00000000100001	245
00000000100010	202
00000000100011	300
00000000100100	212
00000000100101	206
00000000100110	183
00000000100111	263
00000000101000	298
00000000101001	288
00000000101010	229
00000000101011	312
00000000101100	214
00000000101101	181
00000000101110	237
00000000101111	202
00000000110000	109
00000000110001	181
00000000110010	102
00000000110011	197
00000000110100	117
00000000110101	162
00000000110110	87
00000000110111	191
00000000111000	172
00000000111001	239
00000000111010	159
00000000111011	252
00000000111100	161
00000000111101	197
00000000111110	152
00000000111111	188
00000001000000	171
00000001000001	242
00000001000010	140
00000001000011	338
00000001000100	149
00000001000101	306
00000001000110	132
00000001000111	278
00000001001000	221
00000001001001	311
00000001001010	169
00000001001011	262
00000001001100	177
00000001001101	374
00000001001110	186
00000001001111	231
00000001010000	85
00000001010001	225
00000001010010	98
00000001010011	189
00000001010100	79
00000001010101	216
00000001010110	93
00000001010111	229
00000001011000	123
00000001011001	271
00000001011010	123
00000001011011	193
00000001011100	114
00000001011101	303
00000001011110	131
00000001011111	231
00000001100000	204
00000001100001	333
00000001100010	207
00000001100011	365
00000001100100	259
00000001100101	362
00000001100110	210
00000001100111	302
00000001101000	271
00000001101001	456
00000001101010	257
00000001101011	310
00000001101100	220
00000001101101	311
00000001101110	156
00000001101111	275
00000001110000	101
00000001110001	325
00000001110010	99
00000001110011	227
00000001110100	122
00000001110101	302
00000001110110	120
00000001110111	262
00000001111000	170
00000001111001	306
00000001111010	141
00000001111011	296
00000001111100	169
00000001111101	345
00000001111110	132
00000001111111	240
00000010000000	156
00000010000001	246
00000010000010	122
00000010000011	255
00000010000100	150
00000010000101	240
00000010000110	195
00000010000111	242
00000010001000	194
00000010001001	237
00000010001010	153
00000010001011	246
00000010001100	158
00000010001101	203
00000010001110	204
00000010001111	262
00000010010000	71
00000010010001	150
00000010010010	98
00000010010011	188
00000010010100	65
00000010010101	217
00000010010110	79
00000010010111	283
00000010011000	82
00000010011001	272
00000010011010	102
00000010011011	158
00000010011100	140
00000010011101	177
00000010011110	110
00000010011111	291
00000010100000	238
00000010100001	391
00000010100010	213
00000010100011	299
00000010100100	193
00000010100101	388
00000010100110	197
00000010100111	255
00000010101000	237
00000010101001	334
00000010101010	205
00000010101011	343
00000010101100	224
00000010101101	340
00000010101110	186
00000010101111	305
00000010110000	105
00000010110001	179
00000010110010	80
00000010110011	241
00000010110100	78
00000010110101	209
00000010110110	98
00000010110111	198
00000010111000	158
00000010111001	310
00000010111010	149
00000010111011	320
00000010111100	170
00000010111101	314
00000010111110	151
00000010111111	239
00000011000000	247
00000011000001	373
00000011000010	171
00000011000011	364
00000011000100	229
00000011000101	448
00000011000110	300
00000011000111	413
00000011001000	222
00000011001001	433
00000011001010	240
00000011001011	297
00000011001100	231
00000011001101	395
00000011001110	292
00000011001111	334
00000011010000	132
00000011010001	216
00000011010010	81
00000011010011	306
00000011010100	114
00000011010101	392
00000011010110	99
00000011010111	302
00000011011000	162
00000011011001	222
00000011011010	169
00000011011011	277
00000011011100	162
00000011011101	401
00000011011110	156
00000011011111	285
00000011100000	290
00000011100001	444
00000011100010	188
00000011100011	447
00000011100100	269
00000011100101	577
00000011100110	231
00000011100111	491
00000011101000	451
00000011101001	551
00000011101010	278
00000011101011	446
00000011101100	268
00000011101101	501
00000011101110	222
00000011101111	418
00000011110000	139
00000011110001	308
00000011110010	108
00000011110011	231
00000011110100	166
00000011110101	374
00000011110110	109
00000011110111	377
00000011111000	294
00000011111001	461
00000011111010	192
00000011111011	450
00000011111100	236
00000011111101	495
00000011111110	223
00000011111111	381
00000100000000	120
00000100000001	211
00000100000010	115
00000100000011	127
00000100000100	145
00000100000101	187
00000100000110	171
00000100000111	301
00000100001000	164
00000100001001	142
00000100001010	136
00000100001011	167
00000100001100	139
