 	count
00000000000000	70
00000000000001	74
00000000000010	110
00000000000011	79
00000000000100	67
00000000000101	92
00000000000110	53
00000000000111	91
00000000001000	93
00000000001001	133
00000000001010	72
00000000001011	124
00000000001100	88
00000000001101	73
00000000001110	75
00000000001111	81
00000000010000	39
00000000010001	82
00000000010010	60
00000000010011	100
00000000010100	55
00000000010101	117
00000000010110	31
00000000010111	79
00000000011000	61
00000000011001	89
00000000011010	71
00000000011011	89
00000000011100	53
00000000011101	78
00000000011110	60
00000000011111	86
00000000100000	82
00000000100001	111
00000000100010	96
00000000100011	130
00000000100100	81
00000000100101	98
00000000100110	77
00000000100111	104
00000000101000	100
00000000101001	102
00000000101010	111
00000000101011	121
00000000101100	108
00000000101101	53
00000000101110	82
00000000101111	103
00000000110000	67
00000000110001	91
00000000110010	57
00000000110011	93
00000000110100	74
00000000110101	87
00000000110110	57
00000000110111	91
00000000111000	78
00000000111001	110
00000000111010	71
00000000111011	100
00000000111100	74
00000000111101	105
00000000111110	99
00000000111111	91
00000001000000	85
00000001000001	123
00000001000010	68
00000001000011	140
00000001000100	71
00000001000101	128
00000001000110	67
00000001000111	136
00000001001000	119
00000001001001	140
00000001001010	88
00000001001011	119
00000001001100	89
00000001001101	116
00000001001110	63
00000001001111	130
00000001010000	38
00000001010001	102
00000001010010	34
00000001010011	84
00000001010100	41
00000001010101	110
00000001010110	64
00000001010111	104
00000001011000	52
00000001011001	148
00000001011010	56
00000001011011	115
00000001011100	63
00000001011101	165
00000001011110	62
00000001011111	116
00000001100000	98
00000001100001	114
00000001100010	97
00000001100011	157
00000001100100	127
00000001100101	164
00000001100110	81
00000001100111	110
00000001101000	106
00000001101001	161
00000001101010	134
00000001101011	100
00000001101100	99
00000001101101	143
00000001101110	84
00000001101111	94
00000001110000	44
00000001110001	168
00000001110010	36
00000001110011	107
00000001110100	68
00000001110101	136
00000001110110	59
00000001110111	107
00000001111000	85
00000001111001	148
00000001111010	60
00000001111011	133
00000001111100	84
00000001111101	132
00000001111110	68
00000001111111	145
00000010000000	67
00000010000001	79
00000010000010	55
00000010000011	142
00000010000100	80
00000010000101	124
00000010000110	94
00000010000111	129
00000010001000	99
00000010001001	100
00000010001010	109
00000010001011	108
00000010001100	80
00000010001101	82
00000010001110	114
00000010001111	101
00000010010000	46
00000010010001	73
00000010010010	51
00000010010011	104
00000010010100	37
00000010010101	129
00000010010110	52
00000010010111	138
