 	count
00000000000000	237
00000000000001	242
00000000000010	231
00000000000011	299
00000000000100	282
00000000000101	340
00000000000110	215
00000000000111	339
00000000001000	338
00000000001001	436
00000000001010	241
00000000001011	400
00000000001100	323
00000000001101	333
00000000001110	243
00000000001111	300
00000000010000	153
00000000010001	265
00000000010010	142
00000000010011	287
00000000010100	151
00000000010101	305
00000000010110	127
00000000010111	282
00000000011000	185
00000000011001	279
00000000011010	202
00000000011011	231
00000000011100	167
00000000011101	216
00000000011110	179
00000000011111	280
00000000100000	273
00000000100001	466
00000000100010	205
00000000100011	392
00000000100100	366
00000000100101	406
00000000100110	214
00000000100111	345
00000000101000	436
00000000101001	427
00000000101010	303
00000000101011	341
00000000101100	376
00000000101101	346
00000000101110	291
00000000101111	289
00000000110000	207
00000000110001	313
00000000110010	156
00000000110011	228
00000000110100	182
00000000110101	393
00000000110110	125
00000000110111	287
00000000111000	328
00000000111001	398
00000000111010	187
00000000111011	297
00000000111100	257
00000000111101	395
00000000111110	255
00000000111111	265
00000001000000	161
00000001000001	236
00000001000010	134
00000001000011	307
00000001000100	153
00000001000101	299
00000001000110	127
00000001000111	203
00000001001000	229
00000001001001	306
00000001001010	159
00000001001011	219
00000001001100	146
00000001001101	323
00000001001110	154
00000001001111	245
00000001010000	92
00000001010001	208
00000001010010	95
00000001010011	163
00000001010100	55
00000001010101	161
00000001010110	67
00000001010111	208
00000001011000	102
00000001011001	269
00000001011010	92
00000001011011	193
00000001011100	120
00000001011101	265
00000001011110	122
00000001011111	215
00000001100000	179
00000001100001	278
00000001100010	200
00000001100011	272
00000001100100	245
00000001100101	368
00000001100110	179
00000001100111	283
00000001101000	235
00000001101001	417
00000001101010	190
00000001101011	241
00000001101100	180
00000001101101	265
00000001101110	187
00000001101111	230
00000001110000	74
00000001110001	281
00000001110010	85
00000001110011	204
00000001110100	112
00000001110101	263
00000001110110	116
00000001110111	235
00000001111000	162
00000001111001	316
00000001111010	124
00000001111011	241
00000001111100	194
00000001111101	255
00000001111110	118
00000001111111	255
00000010000000	217
00000010000001	273
00000010000010	106
00000010000011	245
00000010000100	234
00000010000101	339
00000010000110	217
00000010000111	270
00000010001000	289
00000010001001	309
00000010001010	281
00000010001011	229
00000010001100	239
00000010001101	268
00000010001110	240
00000010001111	245
00000010010000	119
00000010010001	193
00000010010010	108
00000010010011	197
00000010010100	115
00000010010101	290
00000010010110	95
00000010010111	278
00000010011000	114
00000010011001	296
00000010011010	139
00000010011011	182
00000010011100	190
00000010011101	236
00000010011110	114
00000010011111	342
00000010100000	315
00000010100001	484
00000010100010	179
00000010100011	285
00000010100100	312
00000010100101	455
00000010100110	251
00000010100111	288
00000010101000	297
00000010101001	419
00000010101010	207
00000010101011	302
00000010101100	338
00000010101101	485
00000010101110	235
00000010101111	234
00000010110000	134
00000010110001	244
00000010110010	90
00000010110011	188
00000010110100	144
00000010110101	250
00000010110110	121
00000010110111	195
00000010111000	195
00000010111001	419
00000010111010	114
00000010111011	292
00000010111100	219
00000010111101	463
00000010111110	150
00000010111111	282
00000011000000	147
00000011000001	266
00000011000010	125
00000011000011	247
00000011000100	171
00000011000101	277
00000011000110	212
00000011000111	241
00000011001000	218
00000011001001	320
00000011001010	210
00000011001011	209
00000011001100	208
00000011001101	218
00000011001110	178
