 	count
00000000000000	383
00000000000001	464
00000000000010	519
00000000000011	610
00000000000100	416
00000000000101	697
00000000000110	371
00000000000111	721
00000000001000	452
00000000001001	793
00000000001010	392
00000000001011	789
00000000001100	461
00000000001101	601
00000000001110	458
00000000001111	722
00000000010000	123
00000000010001	341
00000000010010	117
00000000010011	418
00000000010100	130
00000000010101	417
00000000010110	127
00000000010111	444
00000000011000	162
00000000011001	446
00000000011010	216
00000000011011	455
00000000011100	178
00000000011101	393
00000000011110	187
00000000011111	439
00000000100000	466
00000000100001	801
00000000100010	530
00000000100011	859
00000000100100	552
00000000100101	743
00000000100110	403
00000000100111	779
00000000101000	618
00000000101001	848
00000000101010	581
00000000101011	892
00000000101100	587
00000000101101	627
00000000101110	611
00000000101111	649
00000000110000	195
00000000110001	370
00000000110010	175
00000000110011	413
00000000110100	229
00000000110101	437
00000000110110	150
00000000110111	467
00000000111000	340
00000000111001	568
00000000111010	270
00000000111011	512
00000000111100	238
00000000111101	551
00000000111110	293
00000000111111	433
00000001000000	310
00000001000001	465
00000001000010	316
00000001000011	828
00000001000100	241
00000001000101	555
00000001000110	271
00000001000111	515
00000001001000	382
00000001001001	577
00000001001010	349
00000001001011	688
00000001001100	319
00000001001101	639
00000001001110	357
00000001001111	550
00000001010000	106
00000001010001	346
00000001010010	94
00000001010011	259
00000001010100	57
00000001010101	255
00000001010110	122
00000001010111	291
00000001011000	143
00000001011001	479
00000001011010	166
00000001011011	366
00000001011100	122
00000001011101	404
00000001011110	125
00000001011111	335
00000001100000	304
00000001100001	686
00000001100010	465
00000001100011	719
00000001100100	405
00000001100101	797
00000001100110	332
00000001100111	733
00000001101000	515
00000001101001	861
00000001101010	513
00000001101011	683
00000001101100	332
00000001101101	689
00000001101110	428
00000001101111	678
00000001110000	112
00000001110001	525
00000001110010	104
00000001110011	369
00000001110100	113
00000001110101	434
00000001110110	133
00000001110111	448
00000001111000	211
00000001111001	477
00000001111010	183
00000001111011	586
00000001111100	199
00000001111101	516
00000001111110	186
